openiti_uri,bnf_id,bnf_field,openiti_field,query,target,score_simple,score_token_set,match_0.7,match_0.75,match_0.8,match_0.85,match_0.9,is_expected
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_lat,all_lat,Anwār al-tanzīl wa-asrār al-taʾwīl,Anwar Tanzil,39.00,51.00,True,,,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_lat,all_lat,Anwār al-tanzīl wa-asrār al-taʾwīl,Anwar Tanzil,39.00,51.00,,True,,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_lat,all_lat,Anwār al-tanzīl wa-asrār al-taʾwīl,Anwar Tanzil,39.00,51.00,,,True,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_lat,all_lat,Anwār al-tanzīl wa-asrār al-taʾwīl,Anwar Tanzil,39.00,51.00,,,,True,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_lat,all_lat,Anwār al-tanzīl wa-asrār al-taʾwīl,Anwar Tanzil,39.00,51.00,,,,,True,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_ara,all_ara,عبد الله بن عمر البيضاوي,تفسير البيضاوي,53.00,73.00,True,,,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_ara,all_ara,عبد الله بن عمر البيضاوي,تفسير البيضاوي,53.00,73.00,,True,,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_ara,all_ara,عبد الله بن عمر البيضاوي,تفسير البيضاوي,53.00,73.00,,,True,,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_ara,all_ara,عبد الله بن عمر البيضاوي,تفسير البيضاوي,53.00,73.00,,,,True,,True
0685NasirDinBaydawi.AnwarTanzil,OAI_11000434,all_ara,all_ara,عبد الله بن عمر البيضاوي,تفسير البيضاوي,53.00,73.00,,,,,True,True
0660IbnCadim.BughyatTalab,OAI_10030933,all_lat,all_lat,Boughiat al-talab fi taʾrikh Halab,Buġyaŧ al-ṭalab fī tārīḫ Ḥalab,66.00,56.00,True,,,,,True
0660IbnCadim.BughyatTalab,OAI_10030933,all_lat,all_lat,Boughiat al-talab fi taʾrikh Halab,Buġyaŧ al-ṭalab fī tārīḫ Ḥalab,66.00,56.00,,True,,,,True
0660IbnCadim.BughyatTalab,OAI_10030933,all_lat,all_lat,Boughiat al-talab fi taʾrikh Halab,Buġyaŧ al-ṭalab fī tārīḫ Ḥalab,66.00,56.00,,,True,,,True
0660IbnCadim.BughyatTalab,OAI_10030933,all_lat,all_lat,Boughiat al-talab fi taʾrikh Halab,Buġyaŧ al-ṭalab fī tārīḫ Ḥalab,66.00,56.00,,,,True,,True
0660IbnCadim.BughyatTalab,OAI_10030933,all_lat,all_lat,Boughiat al-talab fi taʾrikh Halab,Buġyaŧ al-ṭalab fī tārīḫ Ḥalab,66.00,56.00,,,,,True,True
0845Maqrizi.Mawaciz,OAI_10882524,all_lat,all_lat,AḤMAD ibn ʿAlī al-Maqrīzī (Taqī al-Dīn),al-Mawāʿiẓ wa al-ʾiʿtibār bi-ḏikr al-ḫuṭaṭ wa al-āṯār :: al-Ḫuṭaṭ al-Miḳrīziyyaŧ,30.00,37.00,True,,,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_lat,all_lat,AḤMAD ibn ʿAlī al-Maqrīzī (Taqī al-Dīn),al-Mawāʿiẓ wa al-ʾiʿtibār bi-ḏikr al-ḫuṭaṭ wa al-āṯār :: al-Ḫuṭaṭ al-Miḳrīziyyaŧ,30.00,37.00,,True,,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_lat,all_lat,AḤMAD ibn ʿAlī al-Maqrīzī (Taqī al-Dīn),al-Mawāʿiẓ wa al-ʾiʿtibār bi-ḏikr al-ḫuṭaṭ wa al-āṯār :: al-Ḫuṭaṭ al-Miḳrīziyyaŧ,30.00,37.00,,,True,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_lat,all_lat,AḤMAD ibn ʿAlī al-Maqrīzī (Taqī al-Dīn),al-Mawāʿiẓ wa al-ʾiʿtibār bi-ḏikr al-ḫuṭaṭ wa al-āṯār :: al-Ḫuṭaṭ al-Miḳrīziyyaŧ,30.00,37.00,,,,True,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_lat,all_lat,AḤMAD ibn ʿAlī al-Maqrīzī (Taqī al-Dīn),al-Mawāʿiẓ wa al-ʾiʿtibār bi-ḏikr al-ḫuṭaṭ wa al-āṯār :: al-Ḫuṭaṭ al-Miḳrīziyyaŧ,30.00,37.00,,,,,True,True
0845Maqrizi.Mawaciz,OAI_10882524,all_ara,all_ara,كتاب المواعظ و الاعتبار فى ذكر الخطط و الآثار,المواعظ و الإعتبار بذكر الخطط و الآثار :: الخطط المقريزية,71.00,76.00,True,,,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_ara,all_ara,كتاب المواعظ و الاعتبار فى ذكر الخطط و الآثار,المواعظ و الإعتبار بذكر الخطط و الآثار :: الخطط المقريزية,71.00,76.00,,True,,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_ara,all_ara,كتاب المواعظ و الاعتبار فى ذكر الخطط و الآثار,المواعظ و الإعتبار بذكر الخطط و الآثار :: الخطط المقريزية,71.00,76.00,,,True,,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_ara,all_ara,كتاب المواعظ و الاعتبار فى ذكر الخطط و الآثار,المواعظ و الإعتبار بذكر الخطط و الآثار :: الخطط المقريزية,71.00,76.00,,,,True,,True
0845Maqrizi.Mawaciz,OAI_10882524,all_ara,all_ara,كتاب المواعظ و الاعتبار فى ذكر الخطط و الآثار,المواعظ و الإعتبار بذكر الخطط و الآثار :: الخطط المقريزية,71.00,76.00,,,,,True,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),al-Muḫtaṣar fī aḫbār al-bašar,75.00,88.00,True,,,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),al-Muḫtaṣar fī aḫbār al-bašar,75.00,88.00,,True,,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),al-Muḫtaṣar fī aḫbār al-bašar,75.00,88.00,,,True,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),al-Muḫtaṣar fī aḫbār al-bašar,75.00,88.00,,,,True,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),al-Muḫtaṣar fī aḫbār al-bašar,75.00,88.00,,,,,True,True
